dataset,target,split,features,head,n_request,mean,std,count,n_train,sem
SAbDab_Chen,developability,random,esm2,linear,50,0.6322129728061452,0.05156595789766271,20,50.0,0.011530498718406597
SAbDab_Chen,developability,random,esm2,linear,500,0.8060744658962313,0.01865590373471742,20,500.0,0.004171586893252035
SAbDab_Chen,developability,random,esm2,linear,all,0.8751041630945441,0.01809786529267837,20,1806.0,0.004046805704206295
SAbDab_Chen,developability,random,esm2,mlp,100,0.6973170501697473,0.031045801754405154,20,100.0,0.006942052313883215
SAbDab_Chen,developability,random,esm2,mlp,1000,0.8516876135934982,0.021267252270411263,20,1000.0,0.004755502177127632
SAbDab_Chen,developability,random,esm2,mlp,200,0.757552467336511,0.02394476647853103,20,200.0,0.005354212555135364
SAbDab_Chen,developability,random,esm2,mlp,25,0.5999652789684853,0.06674118055741404,20,25.0,0.01492378166249651
SAbDab_Chen,developability,random,esm2,mlp,50,0.6465193237543294,0.05235468371358058,20,50.0,0.011706863172406731
SAbDab_Chen,developability,random,esm2,mlp,500,0.819282174822537,0.017736230718470043,20,500.0,0.003965941755111895
SAbDab_Chen,developability,random,esm2,mlp,all,0.8725468090943383,0.018018589011768053,20,1806.0,0.004029078988894413
SAbDab_Chen,developability,random,esm2+cheap,gbm,100,0.7005894002263297,0.030678656845423723,20,100.0,0.00685995621647567
SAbDab_Chen,developability,random,esm2+cheap,gbm,1000,0.8633744556085183,0.01466749793517437,20,1000.0,0.0032797522442887693
SAbDab_Chen,developability,random,esm2+cheap,gbm,200,0.7651589451664895,0.021355718779463944,20,200.0,0.004775283889925022
SAbDab_Chen,developability,random,esm2+cheap,gbm,25,0.5795818901958094,0.0804855380545662,20,25.0,0.017997113429565618
SAbDab_Chen,developability,random,esm2+cheap,gbm,50,0.6375861595967216,0.04939240745834944,20,50.0,0.011044478064923697
SAbDab_Chen,developability,random,esm2+cheap,gbm,500,0.827914423373684,0.01945734874363489,20,500.0,0.004350795445268773
SAbDab_Chen,developability,random,esm2+cheap,gbm,all,0.8943353280065841,0.011699717665582993,20,1806.0,0.002616136401779872
SAbDab_Chen,developability,random,esm2+cheap,linear,100,0.6784330955728543,0.04608229568543649,20,100.0,0.010304314571188125
